abandon,放弃,abstract,抽象的,3
ability,能力,accurate,精确的,3
absorb,吸收,access,访问,3
academic,学术的,achieve,实现,3
accept,接受,acknowledge,承认,3
acquire,获得,adapt,适应,3
adequate,充足的,adjust,调整,3
administration,管理,adopt,采纳,3
advantage,优势,advocate,提倡,3
affect,影响,afford,负担得起,3
aggressive,侵略性的,allocate,分配,3
alternative,替代品,analyze,分析,3
annual,年度的,anticipate,预期,3
apparent,明显的,appreciate,欣赏,3
approach,方法,appropriate,适当的,3
approximately,大约,assess,评估,3
assign,分配,assist,协助,3
assume,假设,attach,附加,3
attain,达到,attempt,尝试,3
attitude,态度,authority,权威,3
available,可用的,benefit,利益,3
,,bear sth or sb out,证实,3
